freq,prev,p.freq,p.prev,p,contaminant
1.1043532053884807e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.1723532623720515e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.0980321344801068e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.8410974616362043e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
2.544785132962303e-4,6,NA,0.21770043340596246,0.21770043340596246,FALSE
4.547289317233853e-5,1,NA,NA,NA,FALSE
1.8641066845613483e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.6254016226109632e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
7.560449403299164e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
9.114355995481662e-6,7,NA,0.7113846259167629,0.7113846259167629,FALSE
1.3879443156740552e-5,1,NA,NA,NA,FALSE
1.0192175173018789e-5,29,NA,0.9618493523673146,0.9618493523673146,FALSE
2.9683564837267172e-5,1,NA,NA,NA,FALSE
1.3034724916042491e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.1466016200432854e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
8.082600111994418e-6,5,NA,0.6610035211425838,0.6610035211425838,FALSE
9.834342601542994e-6,10,NA,0.774681658686002,0.774681658686002,FALSE
5.895927251233183e-6,1,NA,NA,NA,FALSE
1.2408544402001203e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
2.3052242260691467e-5,11,NA,0.7928892014184463,0.7928892014184463,FALSE
1.0911554488426523e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.0787222101180097e-5,15,NA,0.8534976686669915,0.8534976686669915,FALSE
1.0017877425084367e-5,15,NA,0.8534976686669915,0.8534976686669915,FALSE
2.9856628178727094e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
8.498049072283753e-6,10,NA,0.774681658686002,0.774681658686002,FALSE
7.700865700013253e-6,3,NA,0.6030895424276201,0.6030895424276201,FALSE
7.649813399194583e-6,1,NA,NA,NA,FALSE
1.6906593357569083e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
1.1007234823970708e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
2.7846753744791663e-5,1,NA,NA,NA,FALSE
8.643682956891883e-6,10,NA,0.774681658686002,0.774681658686002,FALSE
1.264942759167021e-4,5,NA,0.18221467986973805,0.18221467986973805,FALSE
1.1894116610919266e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
9.028783081120507e-6,15,NA,0.8534976686669915,0.8534976686669915,FALSE
1.0675786604889342e-5,20,NA,0.9070497392723267,0.9070497392723267,FALSE
1.0266880315754937e-5,11,NA,0.7928892014184463,0.7928892014184463,FALSE
1.066126003785824e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
3.397391159902383e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
7.4158622986801436e-6,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.4660941544772483e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.0294142957650482e-5,21,NA,0.9154048188882971,0.9154048188882971,FALSE
1.8834365841014435e-4,7,NA,0.7113846259167629,0.7113846259167629,FALSE
1.1315999949634882e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
2.0310361133780134e-4,6,NA,0.21770043340596246,0.21770043340596246,FALSE
1.4469993991081054e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
7.83081012634483e-6,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.3469503526564293e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.33445301115794e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.5699772499518692e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
1.635705347501162e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.3213684865792972e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
7.470580196019236e-6,1,NA,NA,NA,FALSE
1.0552128055011583e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
9.995439220251122e-6,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.0951360591135167e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
0.0017080171426046282,7,NA,0.04529072309834442,0.04529072309834442,TRUE
1.1397642508708853e-5,21,NA,0.9154048188882971,0.9154048188882971,FALSE
2.338477465591445e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
9.53014177515196e-6,8,NA,0.7340211258448599,0.7340211258448599,FALSE
2.5121797620769328e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
5.5935915222410464e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.0779281632741055e-5,1,NA,NA,NA,FALSE
1.0126031771552673e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
7.638759887460656e-6,6,NA,0.687080173362385,0.687080173362385,FALSE
1.379344360007206e-5,1,NA,NA,NA,FALSE
1.6869242412547034e-5,1,NA,NA,NA,FALSE
1.272282289367884e-5,1,NA,NA,NA,FALSE
1.0335521302729948e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
2.71750945693291e-5,1,NA,NA,NA,FALSE
1.2810687075643315e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.3399687596508643e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
1.6210794194241227e-5,1,NA,NA,NA,FALSE
8.97911967881827e-6,1,NA,NA,NA,FALSE
7.409854559374708e-6,1,NA,NA,NA,FALSE
1.9099980545732725e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
7.8485573207339065e-06,2,NA,0.5710159700985389,0.5710159700985389,FALSE
1.2328116096506064e-5,11,NA,0.7928892014184463,0.7928892014184463,FALSE
9.706890172490138e-6,8,NA,0.7340211258448599,0.7340211258448599,FALSE
7.859555635461038e-6,1,NA,NA,NA,FALSE
1.6284401406791207e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.0599864053416936e-4,10,NA,0.774681658686002,0.774681658686002,FALSE
1.5548445920683006e-5,1,NA,NA,NA,FALSE
1.5548445920683006e-5,1,NA,NA,NA,FALSE
1.042548089245385e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
6.587192192859814e-6,1,NA,NA,NA,FALSE
1.1071938362519136e-5,1,NA,NA,NA,FALSE
